,Country,Average life expectancy (age),Average
81,Japan,82.5375,69.22
156,Sweden,82.51875,69.22
71,Iceland,82.44375,69.22
157,Switzerland,82.33125,69.22
56,France,82.21875,69.22
78,Italy,82.1875,69.22
152,Spain,82.06875,69.22
7,Australia,81.8125,69.22
120,Norway,81.79375,69.22
28,Canada,81.6875,69.22
117,Nigeria,51.35625,69.22
182,eSwatini,51.325,69.22
181,Zimbabwe,50.4875,69.22
31,Chad,50.3875,69.22
79,Ivory Coast,50.3875,69.22
97,Malawi,49.89375,69.22
3,Angola,49.01875,69.22
91,Lesotho,48.78125,69.22
30,Central African Republic,48.5125,69.22
143,Sierra Leone,46.1125,69.22
