,Country,BMI,Alcohol consumption (litres),Adult mortality (cases per 1000 population),Life expectancy (age),Weight status based on BMI
0,Afghanistan,15.51875,0.014375,269.0625,58.19375,Underweight
1,Albania,49.06875,4.84875,45.0625,75.15625,Obese
2,Algeria,48.74375,0.406666667,108.1875,73.61875,Obese
3,Angola,18.01875,5.740666667,328.5625,49.01875,Underweight
4,Antigua and Barbuda,38.425,7.949333333,127.5,75.05625,Obese
5,Argentina,54.98125,7.966666667,106,75.15625,Obese
6,Armenia,44.70625,3.702666667,117.375,73.4,Obese
7,Australia,55.8625,10.15533333,63.1875,81.8125,Obese
8,Austria,48.2875,12.236,65.75,81.48125,Obese
9,Azerbaijan,43.84375,0.992,115.1875,70.73125,Obese
10,Bahrain,51.65625,1.934666667,65.375,75.725,Obese
11,Bangladesh,12.875,0.01,141.375,69.3,Underweight
12,Barbados,45.975,8.206666667,77.625,74.35625,Obese
13,Belarus,54.74375,13.49733333,218.75,69.90625,Obese
14,Belgium,50.89375,11.04266667,70.1875,80.68125,Obese
15,Belize,37.675,6.252666667,155.5,69.26875,Obese
16,Benin,19.6125,1,269.375,57.56875,Normal/Healthy
17,Bhutan,17.58125,0.278666667,230.25,66.1625,Underweight
18,Bolivia,44.81875,3.212,177.5,67.70625,Obese
19,Bosnia and Herzegovina,48.9625,4.405333333,64.9375,75.96875,Obese
20,Botswana,32.24375,4.67,448.125,56.05,Obese
21,Brazil,47.0625,7.213333333,150.6875,73.38125,Obese
22,Brunei,29.71875,0.378666667,67.0625,76.4875,Overweight
23,Bulgaria,54.5,10.86533333,125.5,72.85,Obese
24,Burkina Faso,15.5,4.241333333,252.5,55.64375,Underweight
25,Burundi,15.3125,4.103333333,291.5625,55.5375,Underweight
26,Cambodia,15.3625,1.486,196.375,64.34375,Underweight
27,Cameroon,23.61875,4.141333333,294.875,54.01875,Normal/Healthy
28,Canada,55.8625,8.053333333,64.625,81.6875,Obese
