,Country,BMI,Alcohol consumption (litres),Adult mortality (cases per 1000 population)
0,Afghanistan,15.51875,0.014375,269.0625
1,Albania,49.06875,4.84875,45.0625
2,Algeria,48.74375,0.4066666666666667,108.1875
3,Angola,18.01875,5.740666666666667,328.5625
4,Antigua and Barbuda,38.425,7.949333333333333,127.5
5,Argentina,54.98125,7.966666666666667,106.0
6,Armenia,44.70625,3.7026666666666666,117.375
7,Australia,55.8625,10.155333333333335,63.1875
8,Austria,48.2875,12.235999999999999,65.75
9,Azerbaijan,43.84375,0.9919999999999999,115.1875
10,Bahrain,51.65625,1.9346666666666665,65.375
11,Bangladesh,12.875,0.01,141.375
12,Barbados,45.975,8.206666666666667,77.625
13,Belarus,54.74375,13.497333333333334,218.75
14,Belgium,50.89375,11.042666666666666,70.1875
15,Belize,37.675,6.252666666666667,155.5
16,Benin,19.6125,1.0,269.375
17,Bhutan,17.58125,0.2786666666666667,230.25
18,Bolivia,44.81875,3.212,177.5
19,Bosnia and Herzegovina,48.9625,4.405333333333333,64.9375
20,Botswana,32.24375,4.67,448.125
21,Brazil,47.0625,7.213333333333334,150.6875
22,Brunei,29.718750000000004,0.37866666666666665,67.0625
23,Bulgaria,54.5,10.865333333333332,125.5
24,Burkina Faso,15.5,4.241333333333333,252.5
25,Burundi,15.3125,4.1033333333333335,291.5625
26,Cambodia,15.3625,1.486,196.375
27,Cameroon,23.61875,4.141333333333334,294.875
28,Canada,55.8625,8.053333333333333,64.625
29,Cape Verde,24.375,3.448,116.1875
30,Central African Republic,17.0875,1.2313333333333332,333.0625
31,Chad,16.31875,0.41133333333333333,227.75
32,Chile,55.5875,6.978,63.625
33,China,21.80625,4.1819999999999995,73.75
34,Colombia,49.54375,4.419333333333333,124.25
35,Comoros,18.25625,0.13466666666666666,240.9375
36,Costa Rica,46.725,3.9246666666666665,69.375
37,Croatia,52.35625,12.448,89.0
38,Cuba,49.4625,4.190666666666667,57.5625
39,Cyprus,53.162499999999994,10.260666666666667,54.125
40,Czechia,55.7125,13.026,71.8125
41,Democratic Republic of the Congo,15.8375,1.424,265.375
42,Denmark,55.825,10.708,66.0625
43,Djibouti,26.25,0.764,274.6875
44,Dominican Republic,48.14375,6.030666666666666,143.5
45,East Timor,14.55,0.23533333333333334,170.375
46,Ecuador,43.3125,3.8073333333333332,132.125
47,Egypt,49.2625,0.18866666666666668,170.625
48,El Salvador,45.325,2.6926666666666668,155.0625
49,Equatorial Guinea,17.85625,7.342,279.375
50,Eritrea,15.15625,0.608,308.625
51,Estonia,56.68125,9.014666666666667,169.6875
52,Ethiopia,14.8,1.0746666666666667,285.5625
53,Federated States of Micronesia,65.15,2.1453333333333333,154.0625
54,Fiji,50.5625,1.4626666666666666,125.0
55,Finland,52.3,9.552666666666665,68.875
56,France,51.98125,12.404666666666666,73.125
57,Gabon,28.81875,7.8773333333333335,220.4375
58,Gambia,20.3,2.134666666666667,249.625
59,Georgia,47.74375,5.623333333333333,114.9375
60,Germany,51.99375,11.628666666666668,71.25
61,Ghana,21.725,1.2686666666666668,180.0625
62,Greece,58.68125,8.803333333333335,73.625
63,Grenada,40.2125,8.843333333333334,153.75
64,Guatemala,40.44375,2.268666666666667,131.1875
65,Guinea,17.46875,0.16466666666666668,259.875
66,Guinea-Bissau,19.43125,2.26,158.3125
67,Guyana,36.38125,7.406000000000001,203.9375
68,Haiti,39.275,5.486,168.3125
69,Honduras,39.74375,3.0420000000000003,142.0
70,Hungary,56.93125,11.427333333333333,147.0625
71,Iceland,51.075,7.465999999999999,49.375
72,India,14.79375,1.942,146.5625
73,Indonesia,19.95625,0.06866666666666667,166.5625
74,Iran,48.63125,0.016,107.0
75,Iraq,48.59375,0.13466666666666666,136.75
76,Ireland,53.6875,12.654,72.4375
77,Israel,54.9875,2.497333333333333,59.5
78,Italy,56.15,8.266666666666667,54.1875
79,Ivory Coast,21.325,2.8373333333333335,417.3125
80,Jamaica,45.425,3.624,141.25
81,Japan,25.60625,7.040666666666667,57.125
82,Jordan,53.0,0.5173333333333333,114.3125
83,Kazakhstan,45.15625,6.641333333333334,232.0625
84,Kenya,15.5625,1.602,348.5625
85,Kiribati,69.43125,0.4406666666666667,129.4375
86,Kuwait,59.60625,0.021333333333333333,83.25
87,Kyrgyzstan,35.1125,2.267333333333333,173.6875
88,Laos,14.3625,3.505333333333333,197.1875
89,Latvia,51.30625,8.864,161.8125
90,Lebanon,55.3375,1.7853333333333334,65.3125
91,Lesotho,25.2375,2.086666666666667,550.0625
92,Liberia,19.9875,3.2580000000000005,246.9375
93,Libya,54.8375,0.01,139.6875
94,Lithuania,49.23125,12.632666666666667,117.25
95,Luxembourg,47.825,11.921999999999999,67.5625
96,Madagascar,14.76875,0.8200000000000001,228.8125
97,Malawi,16.78125,0.9193333333333332,424.4375
98,Malaysia,29.16875,0.4906666666666667,118.5625
99,Maldives,19.29375,1.4073333333333333,83.1875
100,Mali,17.2125,0.438,202.125
101,Malta,66.18124999999999,7.13,60.75
102,Mauritania,22.475,0.013333333333333334,159.9375
103,Mauritius,25.98125,2.9066666666666667,163.5625
104,Mexico,51.41875,5.114,111.0625
105,Moldova,43.90625,9.545333333333334,210.3125
106,Mongolia,39.79375,2.354,222.125
107,Montenegro,50.4875,2.584285714285714,92.75
108,Morocco,48.61875,0.5186666666666667,95.1875
109,Mozambique,16.14375,1.2659999999999998,226.25
110,Myanmar,17.125,0.3513333333333334,154.3125
111,Namibia,28.225,4.710666666666667,313.1875
112,Nepal,15.175,0.19,147.25
113,Netherlands,53.96875,8.846666666666666,61.625
114,New Zealand,56.625,9.16625,71.5
115,Nicaragua,42.68125,3.5966666666666667,162.375
116,Niger,16.3625,0.09133333333333334,232.4375
117,Nigeria,19.75,8.646666666666667,248.5
118,North Korea,25.625,3.0,160.8125
119,North Macedonia,52.90625,1.8586666666666667,60.8125
120,Norway,50.8125,6.234375,66.25
121,Oman,44.78125,0.5346666666666666,67.75
122,Pakistan,18.3125,0.026000000000000002,154.0
123,Panama,49.3125,6.212000000000001,115.875
124,Papua New Guinea,40.7875,0.5806666666666668,266.5625
125,Paraguay,39.525,5.527333333333333,139.9375
126,Peru,44.86875,4.278666666666666,122.4375
127,Philippines,19.1875,4.510666666666666,217.9375
128,Poland,53.73125,9.998666666666667,107.5625
129,Portugal,43.63125,12.211333333333334,58.875
130,Qatar,65.65,1.0813333333333333,75.375
131,Republic of Serbia,52.1375,8.682666666666668,130.4375
132,Republic of the Congo,20.925,2.1733333333333333,322.75
133,Romania,52.25,8.968666666666667,156.0625
134,Russia,53.31875,11.127999999999998,224.5625
135,Rwanda,14.75,5.635999999999999,246.8125
136,Saint Lucia,39.59375,11.511333333333333,146.25
137,Saint Vincent and the Grenadines,41.99375,6.11,152.0625
138,Samoa,62.90625,2.704,133.5625
139,Sao Tome and Principe,20.85,4.191333333333334,164.9375
140,Saudi Arabia,55.3125,0.07466666666666667,52.125
141,Senegal,18.44375,0.30933333333333335,174.1875
142,Seychelles,28.40625,6.201333333333333,161.1875
143,Sierra Leone,18.30625,3.1546666666666665,357.8125
144,Singapore,25.90625,1.7625,62.0
145,Slovakia,51.81875,10.473333333333333,118.0625
146,Slovenia,52.2,10.754666666666667,76.4375
147,Solomon Islands,39.175,0.8006666666666666,140.0625
148,Somalia,18.6875,0.01,316.75
149,South Africa,38.15,7.588666666666667,412.75
150,South Korea,23.24375,8.855333333333334,76.1875
151,South Sudan,,,346.3125
152,Spain,58.66875,10.024,63.625
153,Sri Lanka,17.275,2.096,144.375
154,Sudan,,1.458,240.3125
155,Suriname,50.15625,4.984,166.0
156,Sweden,56.25,6.926666666666667,59.1875
157,Switzerland,51.4375,10.338,55.75
158,Syria,47.3125,0.8046666666666666,139.625
159,Tajikistan,33.1125,0.33066666666666666,177.5625
160,Thailand,21.59375,6.131333333333333,160.375
161,The Bahamas,52.88125,10.271333333333333,152.0625
162,Togo,17.99375,0.9473333333333334,311.3125
163,Tonga,62.94375,1.1673333333333333,129.625
164,Trinidad and Tobago,37.73125,6.044666666666667,163.375
165,Tunisia,48.25625,1.3106666666666666,18.75
166,Turkey,56.4125,1.4213333333333333,98.375
167,Turkmenistan,38.11875,2.6546666666666665,214.8125
168,Uganda,15.525,8.050666666666666,300.1875
169,Ukraine,50.89375,7.3693333333333335,205.75
170,United Arab Emirates,53.80625,1.75,67.0625
171,United Kingdom,55.3875,11.13125,70.375
172,United Republic of Tanzania,17.31875,3.582666666666667,304.4375
173,United States of America,58.45,8.579333333333333,58.1875
174,Uruguay,52.925,6.172666666666667,119.9375
175,Uzbekistan,34.80625,1.6086666666666667,184.8125
176,Vanuatu,44.25625,0.8066666666666666,137.875
177,Venezuela,54.4875,7.42,163.0
178,Vietnam,11.1875,3.0873333333333335,126.5625
179,Yemen,33.4875,0.04733333333333333,211.8125
180,Zambia,17.45,2.2393333333333336,354.3125
181,Zimbabwe,25.1375,4.482,462.375
182,eSwatini,25.5,4.463333333333334,339.0
