,Schooling (years),HIV/AIDS deaths (per 1000 live births)
0,10.1,0.1
1,10.0,0.1
2,9.9,0.1
3,9.8,0.1
4,9.5,0.1
5,9.2,0.1
6,8.9,0.1
7,8.7,0.1
8,8.4,0.1
9,8.1,0.1
10,7.9,0.1
11,6.8,0.1
12,6.5,0.1
13,6.2,0.1
14,5.9,0.1
15,5.5,0.1
16,14.2,0.1
17,14.2,0.1
18,14.2,0.1
19,14.2,0.1
20,13.3,0.1
21,12.5,0.1
22,12.2,0.1
23,12.0,0.1
24,11.6,0.1
25,11.4,0.1
26,10.8,0.1
27,10.9,0.1
28,10.7,0.1
29,10.7,0.1
30,10.6,0.1
31,10.7,0.1
32,14.4,0.1
33,14.4,0.1
34,14.4,0.1
35,14.4,0.1
36,14.0,0.1
37,13.6,0.1
38,13.1,0.1
39,12.6,0.1
40,12.3,0.1
41,12.3,0.1
42,12.0,0.1
43,11.7,0.1
44,11.5,0.1
45,11.1,0.1
46,10.9,0.1
47,10.7,0.1
48,11.4,1.9
49,11.4,2.0
50,11.4,2.3
51,10.3,2.6
52,9.4,2.5
53,9.0,2.5
54,8.5,2.5
55,8.1,2.6
56,7.7,2.6
57,7.2,2.5
58,6.8,2.6
59,6.4,2.5
60,5.9,2.4
61,5.5,2.3
62,5.1,2.1
63,4.6,2.0
64,13.9,0.2
65,13.9,0.2
66,13.9,0.2
67,13.8,0.2
68,14.1,0.1
69,14.1,0.1
70,14.2,0.1
71,14.4,0.1
72,14.5,0.1
73,14.7,0.1
74,0.0,0.1
75,0.0,0.1
76,0.0,0.1
77,0.0,0.1
78,0.0,0.1
79,0.0,0.1
80,17.3,0.1
81,17.3,0.1
82,17.3,0.1
83,17.2,0.1
84,17.1,0.1
85,16.8,0.1
86,16.5,0.1
87,16.3,0.1
88,16.3,0.1
89,16.1,0.1
90,16.3,0.1
91,16.3,0.1
92,16.4,0.1
93,16.3,0.1
94,15.6,0.1
95,15.0,0.1
96,12.7,0.1
97,12.7,0.1
98,12.7,0.1
99,12.7,0.1
100,12.7,0.1
101,12.3,0.1
102,11.9,0.1
103,12.3,0.1
104,11.7,0.1
105,11.2,0.1
106,10.9,0.1
107,10.9,0.1
108,10.8,0.1
109,10.8,0.1
110,11.1,0.1
111,11.2,0.1
112,20.4,0.1
113,20.4,0.1
114,20.3,0.1
115,20.1,0.1
116,19.8,0.1
117,19.5,0.1
118,19.1,0.1
119,19.1,0.1
120,19.0,0.1
121,20.3,0.1
122,20.3,0.1
123,20.7,0.1
124,20.6,0.1
125,20.1,0.1
126,20.5,0.1
127,20.4,0.1
128,15.9,0.1
129,15.9,0.1
130,15.7,0.1
131,15.7,0.1
132,15.7,0.1
133,15.4,0.1
134,15.3,0.1
135,15.1,0.1
136,15.2,0.1
